rgn_id,score,dimension
1,27.2783171521036,status
2,5.5320197044335,status
3,14.6421052631579,status
4,10.8,status
5,80.1,status
6,85.1,status
7,11.5641025641026,status
8,7.63492063492064,status
9,19.0634920634921,status
10,8.7,status
11,17.4920634920635,status
12,NA,status
13,8.16964285714286,status
14,15.6354166666667,status
15,NA,status
16,0.0266666666666667,status
17,NA,status
18,5.20689655172414,status
19,NA,status
20,6.93795620437956,status
21,NA,status
22,NA,status
23,NA,status
24,NA,status
25,1.44748858447489,status
26,24.2317188983856,status
27,0,status
28,16.8942115768463,status
29,6.93079096045198,status
30,3.03787878787879,status
31,7.1247311827957,status
32,4.45859872611465,status
33,0,status
34,15.0451127819549,status
35,18.0491803278689,status
36,19.0744186046512,status
37,NA,status
38,NA,status
39,NA,status
40,NA,status
41,NA,status
42,NA,status
