rgn_id,dimension,score
1,trend,0.08
2,trend,0.08
3,trend,-0.13
4,trend,-0.13
5,trend,-0.02
6,trend,-0.02
7,trend,0
8,trend,0
9,trend,0.02
10,trend,0.02
11,trend,0.01
12,trend,0.01
13,trend,0.01
14,trend,0.12
15,trend,0.12
16,trend,0.12
17,trend,0.12
18,trend,-0.1
19,trend,-0.1
20,trend,0.11
21,trend,0.11
22,trend,0.11
23,trend,0.11
24,trend,0.11
25,trend,0.11
26,trend,0.08
27,trend,0.1
28,trend,0.1
29,trend,-0.01
30,trend,-0.01
31,trend,-0.01
32,trend,0.03
33,trend,0.03
34,trend,0.03
35,trend,-0.05
36,trend,-0.05
37,trend,-0.04
38,trend,-0.04
39,trend,-0.06
40,trend,-0.06
41,trend,-0.07
42,trend,-0.07
