"rgn_id","resilience.score"
1,0.909091
2,0.727273
3,0.727273
4,0.954545
5,0.909091
6,0.727273
7,0.727273
8,0.954545
9,0.727273
10,0.954545
11,0.909091
12,0.727273
13,0.954545
14,0.909091
15,0.727273
16,0.727273
17,0.818182
18,0.818182
19,0.727273
20,0.909091
21,0.818182
22,0.727273
23,0.909091
24,0.863636
25,0.772727
26,0.909091
27,0.863636
28,0.772727
29,0.909091
30,0.909091
31,0.772727
32,0.909091
33,0.727273
34,0.772727
35,0.909091
36,0.909091
37,0.909091
38,0.909091
39,0.909091
40,0.727273
41,0.909091
42,0.727273
