country,BHI_ID,nuts3,country_abb
Poland,21,PL631,PL
Poland,21,PL634,PL
Germany,13,DE801,DE
Germany,13,DE805,DE
Germany,13,DE808,DE
Germany,13,DE80D,DE
Germany,13,DE80F,DE
Germany,13,DE80H,DE
Germany,10,DE803,DE
Germany,10,DE806,DE
Germany,10,DE807,DE
Germany,10,DE809,DE
Germany,10,DE80D,DE
Germany,10,DE80E,DE
Germany,10,DE80G,DE
Germany,10,DEF03,DE
Germany,10,DEF06,DE
Germany,10,DEF08,DE
Germany,10,DEF0D,DE
Germany,10,DEF0F,DE
Germany,16,DE80B,DE
Germany,16,DE80F,DE
Germany,16,DE80I,DE
Germany,16,PL425,PL
Germany,4,DEF01,DE
Germany,4,DEF0C,DE
Germany,4,DK032,DK
Germany,8,DEF02,DE
Germany,8,DEF08,DE
Germany,8,DEF0A,DE
Germany,8,DEF0B,DE
Germany,8,DEF0C,DE
Denmark,12,DK011,DK
Denmark,12,DK012,DK
Denmark,12,DK013,DK
Denmark,12,DK021,DK
Denmark,12,DK022,DK
Denmark,9,DK022,DK
Denmark,15,DK014,DK
Denmark,3,DEF0C,DE
Denmark,3,DK022,DK
Denmark,3,DK031,DK
Denmark,3,DK032,DK
Denmark,3,DK041,DK
Denmark,3,DK042,DK
Denmark,2,DK013,DK
Denmark,2,DK021,DK
Denmark,2,DK022,DK
Denmark,2,DK042,DK
Denmark,2,DK050,DK
Denmark,7,DK022,DK
Denmark,6,DK011,DK
Denmark,6,DK012,DK
Denmark,6,DK013,DK
Estonia,25,EE004,EE
Estonia,34,EE001,EE
Estonia,34,EE004,EE
Estonia,34,EE006,EE
Estonia,34,EE007,EE
Estonia,28,EE004,EE
Estonia,28,LV007,LV
Estonia,31,EE004,EE
Finland,36,FI181,FI
Finland,36,FI183,FI
Finland,36,FI200,FI
Finland,42,FI195,FI
Finland,42,FI1A1,FI
Finland,42,FI1A2,FI
Finland,42,FI1A3,FI
Finland,42,SE332,SE
Finland,38,FI183,FI
Finland,38,FI194,FI
Finland,38,FI195,FI
Finland,38,FI196,FI
Finland,38,FI200,FI
Finland,32,FI181,FI
Finland,32,FI182,FI
Finland,32,FI183,FI
Finland,32,FI186,FI
Finland,32,FI187,FI
Finland,40,FI194,FI
Finland,40,FI195,FI
Lithuania,23,LT003,LT
Lithuania,23,LV003,LV
Latvia,24,LT003,LT
Latvia,24,LV003,LV
Latvia,27,EE004,EE
Latvia,27,LV003,LV
Latvia,27,LV006,LV
Latvia,27,LV007,LV
Latvia,27,LV009,LV
Poland,17,DE80I,DE
Poland,17,PL422,PL
Poland,17,PL423,PL
Poland,17,PL424,PL
Poland,17,PL425,PL
Poland,17,PL631,PL
Poland,18,PL621,PL
Poland,18,PL633,PL
Poland,18,PL634,PL
Poland,18,PL635,PL
Russia,22,LT003,LT
Russia,19,PL621,PL
Russia,19,PL622,PL
Russia,33,EE007,EE
Russia,33,FI187,FI
Sweden,35,SE110,SE
Sweden,35,SE121,SE
Sweden,11,SE224,SE
Sweden,14,SE212,SE
Sweden,14,SE213,SE
Sweden,14,SE221,SE
Sweden,14,SE224,SE
Sweden,37,SE121,SE
Sweden,37,SE313,SE
Sweden,37,SE321,SE
Sweden,37,SE331,SE
Sweden,41,FI1A3,FI
Sweden,41,SE331,SE
Sweden,41,SE332,SE
Sweden,20,SE214,SE
Sweden,1,SE224,SE
Sweden,1,SE231,SE
Sweden,1,SE232,SE
Sweden,29,SE110,SE
Sweden,29,SE122,SE
Sweden,29,SE123,SE
Sweden,39,SE331,SE
Sweden,5,SE224,SE
Sweden,26,SE123,SE
Sweden,26,SE213,SE
Sweden,26,SE214,SE
Sweden,26,SE221,SE
Germany,13,DE801,DE
Germany,13,DE80F,DE
Germany,13,DE80D,DE
Germany,13,DE80F,DE
Germany,10,DE807,DE
Germany,10,DE80E,DE
Germany,10,DE80E,DE
Germany,10,DE80G,DE
Germany,10,DEF08,DE
Germany,10,DEF0D,DE
Germany,16,DE80B,DE
Germany,16,DE80I,DE
Denmark,12,DK013,DK
Denmark,12,DK021,DK
Denmark,2,DK042,DK
Denmark,2,DK050,DK
Finland,32,FI181,FI
Finland,32,FI182,FI
Poland,17,PL424,PL
Poland,17,PL425,PL
Poland,18,PL621,PL
Poland,18,PL634,PL
