"rgn_id","species_name","IUCN"
18,"Alburnus alburnus","LC"
19,"Alburnus alburnus","LC"
20,"Alburnus alburnus","LC"
21,"Alburnus alburnus","LC"
22,"Alburnus alburnus","LC"
23,"Alburnus alburnus","LC"
24,"Alburnus alburnus","LC"
25,"Alburnus alburnus","LC"
5,"Alburnus alburnus","LC"
6,"Alburnus alburnus","LC"
32,"Alburnus alburnus","LC"
33,"Alburnus alburnus","LC"
34,"Alburnus alburnus","LC"
27,"Alburnus alburnus","LC"
28,"Alburnus alburnus","LC"
9,"Alburnus alburnus","LC"
10,"Alburnus alburnus","LC"
7,"Alburnus alburnus","LC"
8,"Alburnus alburnus","LC"
41,"Alburnus alburnus","LC"
42,"Alburnus alburnus","LC"
39,"Alburnus alburnus","LC"
40,"Alburnus alburnus","LC"
37,"Alburnus alburnus","LC"
38,"Alburnus alburnus","LC"
35,"Alburnus alburnus","LC"
36,"Alburnus alburnus","LC"
29,"Alburnus alburnus","LC"
30,"Alburnus alburnus","LC"
31,"Alburnus alburnus","LC"
14,"Alburnus alburnus","LC"
15,"Alburnus alburnus","LC"
16,"Alburnus alburnus","LC"
17,"Alburnus alburnus","LC"
11,"Alburnus alburnus","LC"
12,"Alburnus alburnus","LC"
13,"Alburnus alburnus","LC"
36,"Alburnus alburnus","LC"
26,"Alburnus alburnus","LC"
20,"Alburnus alburnus","LC"
21,"Alburnus alburnus","LC"
22,"Alburnus alburnus","LC"
23,"Alburnus alburnus","LC"
24,"Alburnus alburnus","LC"
25,"Alburnus alburnus","LC"
27,"Alosa fallax","LC"
28,"Alosa fallax","LC"
14,"Alosa fallax","LC"
15,"Alosa fallax","LC"
16,"Alosa fallax","LC"
17,"Alosa fallax","LC"
11,"Alosa fallax","LC"
12,"Alosa fallax","LC"
13,"Alosa fallax","LC"
18,"Alosa fallax","LC"
19,"Alosa fallax","LC"
18,"Alosa fallax","LC"
19,"Alosa fallax","LC"
22,"Alosa fallax","LC"
23,"Alosa fallax","LC"
20,"Alosa fallax","LC"
21,"Alosa fallax","LC"
22,"Alosa fallax","LC"
23,"Alosa fallax","LC"
24,"Alosa fallax","LC"
25,"Alosa fallax","LC"
1,"Amblyraja radiata","LC"
2,"Amblyraja radiata","LC"
5,"Amblyraja radiata","LC"
6,"Amblyraja radiata","LC"
1,"Ammodytes marinus","LC"
2,"Ammodytes marinus","LC"
5,"Ammodytes marinus","LC"
6,"Ammodytes marinus","LC"
18,"Ammodytes tobianus","LC"
19,"Ammodytes tobianus","LC"
1,"Ammodytes tobianus","LC"
2,"Ammodytes tobianus","LC"
5,"Ammodytes tobianus","LC"
6,"Ammodytes tobianus","LC"
32,"Ammodytes tobianus","LC"
33,"Ammodytes tobianus","LC"
34,"Ammodytes tobianus","LC"
27,"Ammodytes tobianus","LC"
28,"Ammodytes tobianus","LC"
9,"Ammodytes tobianus","LC"
10,"Ammodytes tobianus","LC"
7,"Ammodytes tobianus","LC"
8,"Ammodytes tobianus","LC"
3,"Ammodytes tobianus","LC"
3,"Ammodytes tobianus","LC"
4,"Ammodytes tobianus","LC"
41,"Ammodytes tobianus","LC"
42,"Ammodytes tobianus","LC"
39,"Ammodytes tobianus","LC"
40,"Ammodytes tobianus","LC"
37,"Ammodytes tobianus","LC"
38,"Ammodytes tobianus","LC"
35,"Ammodytes tobianus","LC"
36,"Ammodytes tobianus","LC"
29,"Ammodytes tobianus","LC"
30,"Ammodytes tobianus","LC"
31,"Ammodytes tobianus","LC"
14,"Ammodytes tobianus","LC"
15,"Ammodytes tobianus","LC"
16,"Ammodytes tobianus","LC"
17,"Ammodytes tobianus","LC"
11,"Ammodytes tobianus","LC"
12,"Ammodytes tobianus","LC"
13,"Ammodytes tobianus","LC"
36,"Ammodytes tobianus","LC"
26,"Ammodytes tobianus","LC"
20,"Ammodytes tobianus","LC"
21,"Ammodytes tobianus","LC"
22,"Ammodytes tobianus","LC"
23,"Ammodytes tobianus","LC"
24,"Ammodytes tobianus","LC"
25,"Ammodytes tobianus","LC"
1,"Anarhichas lupus","EN"
2,"Anarhichas lupus","EN"
5,"Anarhichas lupus","EN"
6,"Anarhichas lupus","EN"
3,"Anarhichas lupus","EN"
3,"Anarhichas lupus","EN"
4,"Anarhichas lupus","EN"
18,"Anguilla anguilla","CR"
19,"Anguilla anguilla","CR"
20,"Anguilla anguilla","CR"
21,"Anguilla anguilla","CR"
22,"Anguilla anguilla","CR"
23,"Anguilla anguilla","CR"
24,"Anguilla anguilla","CR"
