"rgn_id","pressure_score"
1,0.0233274
2,0.00731729
3,0.0136931
4,0.0332749
5,0.00289883
6,0.00714654
7,0.00115885
8,0.0411513
9,0.00539007
10,0.0237988
11,0.00398428
12,0.00898428
13,0.0502071
14,0.00569361
15,0.00476552
16,NA
17,0.0105704
18,0.0491899
19,0.00189306
20,0.00125413
21,0.0797067
22,0.00465876
23,0.131684
24,0.019187
25,0.00701251
26,0.0218153
27,0.086157
28,0.00713718
29,0.00370139
30,0.0691879
31,0.00239787
32,0.0361371
33,0.00363045
34,0.00182012
35,0.0022641
36,0.0110922
37,0.053297
38,0.00193983
39,0.00128931
40,NA
41,0.00299531
42,NA
