c_square,year,mid_lat,mid_lon,Reported,fishing_ho,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
Russian EEZ,0,0,0,No,0,Estonia,EST,Gulf of Finland,SEA-013,34,8426.04463
Russian EEZ,0,0,0,No,0,Finland,FIN,Gulf of Finland,SEA-013,32,9549.67733
Russian EEZ,0,0,0,No,0,Latvia,LVA,Eastern Gotland Basin,SEA-009,24,20977.58487
Russian EEZ,0,0,0,No,0,Lithuania,LTU,Eastern Gotland Basin,SEA-009,23,6139.73941
Russian EEZ,0,0,0,No,0,Poland,POL,Eastern Gotland Basin,SEA-009,21,11013.8982
Russian EEZ,0,0,0,No,0,Poland,POL,Gdansk Basin,SEA-008,18,3682.83573
Russian EEZ,0,0,0,No,0,Russia,RUS,Eastern Gotland Basin,SEA-009,22,9466.30104
Russian EEZ,0,0,0,No,0,Russia,RUS,Gdansk Basin,SEA-008,19,2138.41462
Russian EEZ,0,0,0,No,0,Russia,RUS,Gulf of Finland,SEA-013,33,11571.59858
Russian EEZ,0,0,0,No,0,Sweden,SWE,Eastern Gotland Basin,SEA-009,20,21941.00756
1500:249:248:4,2013,54.475,9.875,Yes,1.205556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1500:249:249:3,2013,54.475,9.925,Yes,18.738889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1500:249:249:4,2013,54.475,9.975,Yes,6.161111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1500:249:479:4,2013,54.775,9.975,Yes,28.011111,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:479:4,2013,54.775,9.975,Yes,28.011111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1500:249:487:2,2013,54.825,9.775,Yes,18.966667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:487:2,2013,54.825,9.775,Yes,18.966667,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:487:4,2013,54.875,9.775,Yes,10,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:488:1,2013,54.825,9.825,Yes,40.838889,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:488:1,2013,54.825,9.825,Yes,40.838889,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:488:2,2013,54.825,9.875,Yes,34.333333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:488:2,2013,54.825,9.875,Yes,34.333333,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:488:3,2013,54.875,9.825,Yes,26.233333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:489:1,2013,54.825,9.925,Yes,47.533333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:489:1,2013,54.825,9.925,Yes,47.533333,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:489:2,2013,54.825,9.975,Yes,32.338889,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:489:2,2013,54.825,9.975,Yes,32.338889,Germany,DEU,Great Belt,SEA-002,4,140.98877
1500:249:489:4,2013,54.875,9.975,Yes,0.316667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:249:497:4,2013,54.975,9.775,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:205:4,2013,55.075,9.575,Yes,62.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:206:1,2013,55.025,9.625,Yes,31,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:206:3,2013,55.075,9.625,Yes,64.1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:206:4,2013,55.075,9.675,Yes,21,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:208:3,2013,55.075,9.825,Yes,6,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:208:4,2013,55.075,9.875,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:209:1,2013,55.025,9.925,Yes,11,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:209:2,2013,55.025,9.975,Yes,17.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:209:3,2013,55.075,9.925,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:209:4,2013,55.075,9.975,Yes,22,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:215:1,2013,55.125,9.525,Yes,35.666667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:215:4,2013,55.175,9.575,Yes,45.1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:216:1,2013,55.125,9.625,Yes,21,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:216:2,2013,55.125,9.675,Yes,31.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:216:3,2013,55.175,9.625,Yes,24.066667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:216:4,2013,55.175,9.675,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:217:1,2013,55.125,9.725,Yes,38,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:217:2,2013,55.125,9.775,Yes,19.066667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:217:3,2013,55.175,9.725,Yes,9.933333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:217:4,2013,55.175,9.775,Yes,5,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:218:1,2013,55.125,9.825,Yes,11,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:218:4,2013,55.175,9.875,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:219:3,2013,55.175,9.925,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:227:1,2013,55.225,9.725,Yes,5.3,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:227:2,2013,55.225,9.775,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:227:3,2013,55.275,9.725,Yes,37.533333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:227:4,2013,55.275,9.775,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:228:1,2013,55.225,9.825,Yes,1.766667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:228:3,2013,55.275,9.825,Yes,160.6,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:228:4,2013,55.275,9.875,Yes,13,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:236:3,2013,55.375,9.625,Yes,8,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:236:4,2013,55.375,9.675,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:1,2013,55.325,9.725,Yes,190.866667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:2,2013,55.325,9.775,Yes,57.766667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:3,2013,55.375,9.725,Yes,45.933333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:4,2013,55.375,9.775,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:238:2,2013,55.325,9.875,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:458:2,2013,55.525,9.875,Yes,149.233333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:1,2013,55.525,9.925,Yes,42,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:3,2013,55.575,9.925,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:4,2013,55.575,9.975,Yes,15,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:468:2,2013,55.625,9.875,Yes,74.066667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:468:4,2013,55.675,9.875,Yes,6.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:1,2013,55.625,9.925,Yes,10,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:2,2013,55.625,9.975,Yes,4,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:3,2013,55.675,9.925,Yes,63.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:4,2013,55.675,9.975,Yes,23,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:489:4,2013,55.875,9.975,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:130:499:3,2013,53.975,10.925,Yes,0.955556,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:134:392:2,2013,53.925,14.275,Yes,2.033333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
