"Year","TEMP_O_5_JulAug_FB","SALIN_O_5_FB","SALIN_65_FB"
1960,17.6741427419355,12.8793626229508,32.2475475409836
1961,16.7931193548387,14.0795108219178,31.0016320547945
1962,16.73565,13.611532739726,31.9060890410959
1963,17.1719790322581,13.3569523972603,32.7433273972603
1964,18.5237653225806,13.5721049043716,31.8246415300546
1965,16.2772919354839,13.753448630137,31.3426832876712
1966,16.9931064516129,14.3223539726027,31.2519008219178
1967,16.4503451612903,13.6533256164384,31.2742704109589
1968,16.8124120967742,13.8117351502732,30.8893491803279
1969,18.321785483871,13.8366898630137,32.1800797260274
1970,16.0979951612903,14.4759878082192,31.7277547945205
1971,16.6066169354839,14.257247260274,32.2666912328767
1972,16.8642096774194,14.1253745901639,31.487493989071
1973,16.9259137096774,13.7914776712329,30.0580671232877
1974,16.6860443548387,13.2817820547945,31.7073504109589
1975,17.6675596774194,13.5831632876712,31.9635528767123
1976,17.7996975806452,13.8197664480874,31.4510016393443
1977,16.67165,13.8101312328767,31.4949594520548
1978,16.3100701612903,13.5951582191781,32.213295890411
1979,18.4929846774194,14.5995119178082,31.9760594520548
1980,16.3646596774194,13.8273319672131,31.9408240437158
1981,17.712085483871,14.8391153424658,31.3506789041096
1982,16.8096064516129,13.9658576575342,30.9158964383562
1983,16.6077241935484,13.3017315068493,30.9378515068493
1984,17.0384911290323,13.6739677595628,31.6204579234973
1985,15.909039516129,14.1646820547945,31.2033849315069
1986,16.8750774193548,14.0911825753425,31.1070471232877
1987,16.3393709677419,14.0348084931507,29.7657345205479
1988,15.5730967741935,13.5560545081967,30.8829467213115
1989,16.0310072580645,14.1559884931507,31.3089043835616
1990,15.8542306451613,14.588795890411,30.7894504109589
1991,16.2727201612903,13.6957430136986,32.0008410958904
1992,17.6998362903226,14.4654503142077,31.0451101092896
1993,16.7006693548387,13.6892765753425,30.6845419178082
1994,17.3861540322581,14.144951369863,31.6171698630137
1995,16.9094588709677,13.5990010273973,30.7770876712329
1996,16.9522975806452,14.0395885245902,31.7122155737705
1997,17.3186782258065,14.1530798356164,30.9868665753425
1998,17.793589516129,13.4706591780822,31.3365095890411
1999,18.0873741935484,13.6909419178082,31.8604791780822
2000,16.7342959677419,14.0322803278689,31.8009418032787
2001,16.8044419354839,14.1653291780822,31.1845079452055
2002,16.6946717741935,14.2659469863014,31.131664109589
2003,17.738264516129,13.4437502739726,31.4111389041096
2004,17.0579241935484,14.3884234972678,30.6998316939891
2005,17.4673935483871,13.8846830136986,31.0529802739726
2006,17.2477516129032,13.4240312465753,32.0025846575342
2007,16.9196112903226,13.6164108630137,31.6072687671233
2008,16.853510483871,13.8709258196721,31.2745677595628
2009,17.6002661290323,13.807445260274,31.9275610958904
2010,17.0253153225806,14.3158636712329,31.1529569863014
2011,16.9645330645161,14.0254723972603,32.1164663013699
2012,17.4752612903226,13.8300819672131,30.9617355191257
2013,17.4217096774194,13.3281382465753,31.5520298630137
2014,17.2924548387097,13.5777867671233,32.1392484931507
2015,17.7937879032258,13.8591389863014,31.8128339726027
2016,16.9363612903226,14.1463132650273,30.9844633879781
2017,17.3825370967742,13.1626278082192,31.2852043835616
2018,16.7352975806452,13.6185489041096,31.8728868493151
