country;year;score_wgi_scale;score_ohi_scale
Afghanistan;1996;-2.070546528;0.085890694
Afghanistan;1998;-2.096063614;0.080787277
Afghanistan;2000;-2.123715341;0.075256932
Afghanistan;2002;-1.748489579;0.150302084
Afghanistan;2003;-1.571231623;0.185753675
Afghanistan;2004;-1.51061813;0.197876374
Afghanistan;2005;-1.55465887;0.189068226
Afghanistan;2006;-1.664052427;0.167189515
Afghanistan;2007;-1.686639786;0.162672043
Afghanistan;2008;-1.764825781;0.147034844
Afghanistan;2009;-1.792780221;0.141443956
Afghanistan;2010;-1.758631567;0.148273687
Afghanistan;2011;-1.728190879;0.154361824
Afghanistan;2012;-1.575659732;0.184868054
Afghanistan;2013;-1.589015206;0.182196959
Albania;1996;-0.738839323;0.352232135
Albania;1998;-0.700566781;0.359886644
Albania;2000;-0.687544286;0.362491143
Albania;2002;-0.504968917;0.399006217
Albania;2003;-0.499277281;0.400144544
Albania;2004;-0.40825546;0.418348908
Albania;2005;-0.490040765;0.401991847
Albania;2006;-0.419610693;0.416077861
Albania;2007;-0.295178302;0.44096434
Albania;2008;-0.20956258;0.458087484
Albania;2009;-0.156973381;0.468605324
Albania;2010;-0.17379913;0.465240174
Albania;2011;-0.222875624;0.455424875
Albania;2012;-0.260954784;0.447809043
Albania;2013;-0.225880462;0.454823908
Algeria;1996;-1.08670792;0.282658416
Algeria;1998;-1.16870149;0.266259702
Algeria;2000;-1.080787202;0.28384256
Algeria;2002;-0.925467551;0.31490649
Algeria;2003;-0.882162313;0.323567537
Algeria;2004;-0.738690128;0.352261974
Algeria;2005;-0.614996001;0.3770008
Algeria;2006;-0.712246085;0.357550783
Algeria;2007;-0.76283285;0.34743343
Algeria;2008;-0.792703857;0.341459229
Algeria;2009;-0.870861689;0.325827662
Algeria;2010;-0.861386314;0.327722737
Algeria;2011;-0.899623364;0.320075327
Algeria;2012;-0.880903006;0.323819399
Algeria;2013;-0.824523563;0.335095287
American Samoa;1996;0.682670522;0.636534104
American Samoa;1998;0.682670522;0.636534104
American Samoa;2000;0.682670522;0.636534104
American Samoa;2002;0.682670522;0.636534104
American Samoa;2003;0.682670522;0.636534104
American Samoa;2004;0.524416598;0.60488332
American Samoa;2005;0.652220669;0.630444134
American Samoa;2006;0.557299706;0.611459941
American Samoa;2007;0.719782049;0.64395641
American Samoa;2008;0.732432197;0.646486439
American Samoa;2009;0.730955447;0.646191089
American Samoa;2010;0.727838496;0.645567699
American Samoa;2011;0.728812014;0.645762403
American Samoa;2012;0.727711846;0.645542369
American Samoa;2013;0.725236197;0.645047239
Andorra;1996;1.315254192;0.763050838
Andorra;1998;1.326586485;0.765317297
Andorra;2000;1.328974565;0.765794913
Andorra;2002;1.327930172;0.765586034
Andorra;2003;1.306576292;0.761315258
Andorra;2004;1.334709167;0.766941833
Andorra;2005;1.29295826;0.758591652
Andorra;2006;1.302403023;0.760480605
Andorra;2007;1.346545736;0.769309147
Andorra;2008;1.362711132;0.772542226
Andorra;2009;1.356929004;0.771385801
Andorra;2010;1.347782969;0.769556594
Andorra;2011;1.422252297;0.784450459
Andorra;2012;1.423300227;0.784660045
Andorra;2013;1.419597963;0.783919593
Angola;1996;-1.471527994;0.205694401
Angola;1998;-1.646620413;0.170675917
Angola;2000;-1.666474382;0.166705124
Angola;2002;-1.389372369;0.222125526
Angola;2003;-1.249646187;0.250070763
Angola;2004;-1.264344732;0.247131054
Angola;2005;-1.22718663;0.254562674
Angola;2006;-1.134555519;0.273088896
Angola;2007;-1.144171188;0.271165762
Angola;2008;-1.047380785;0.290523843
Angola;2009;-1.025469894;0.294906021
Angola;2010;-1.009406835;0.298118633
Angola;2011;-1.049093758;0.290181248
Angola;2012;-1.004206141;0.299158772
Angola;2013;-1.069126924;0.286174615
Anguilla;1996;1.290175278;0.758035056
Anguilla;1998;1.290175278;0.758035056
Anguilla;2000;1.290175278;0.758035056
Anguilla;2002;1.290175278;0.758035056
Anguilla;2003;1.290175278;0.758035056
Anguilla;2004;0.909645637;0.681929127
Anguilla;2005;1.279216051;0.75584321
Anguilla;2006;1.330689331;0.766137866
Anguilla;2007;1.334698459;0.766939692
Anguilla;2008;1.351264417;0.770252883
Anguilla;2009;1.267301212;0.753460242
Anguilla;2010;1.349470059;0.769894012
Anguilla;2011;1.367217541;0.773443508
Anguilla;2012;1.351779322;0.770355864
Anguilla;2013;1.360470752;0.77209415
Antigua and Barbuda;1996;0.708623022;0.641724604
Antigua and Barbuda;1998;0.722082585;0.644416517
Antigua and Barbuda;2000;0.712120146;0.642424029
Antigua and Barbuda;2002;0.686425587;0.637285117
Antigua and Barbuda;2003;0.688870281;0.637774056
Antigua and Barbuda;2004;0.742581626;0.648516325
Antigua and Barbuda;2005;0.635946234;0.627189247
Antigua and Barbuda;2006;0.805654794;0.661130959
Antigua and Barbuda;2007;0.79158774;0.658317548
Antigua and Barbuda;2008;0.806159784;0.661231957
Antigua and Barbuda;2009;0.801975454;0.660395091
Antigua and Barbuda;2010;0.81295906;0.662591812
Antigua and Barbuda;2011;0.813775177;0.662755035
Antigua and Barbuda;2012;0.831025372;0.666205074
Antigua and Barbuda;2013;0.808219711;0.661643942
Argentina;1996;0.17220332;0.534440664
Argentina;1998;0.122812038;0.524562408
Argentina;2000;0.026391529;0.505278306
Argentina;2002;-0.537189893;0.392562021
Argentina;2003;-0.354094957;0.429181009
Argentina;2004;-0.37130504;0.425738992
Argentina;2005;-0.240390879;0.451921824
Argentina;2006;-0.22068943;0.455862114
Argentina;2007;-0.203719069;0.459256186
Argentina;2008;-0.300547042;0.439890592
Argentina;2009;-0.39543955;0.42091209
Argentina;2010;-0.289964542;0.442007092
Argentina;2011;-0.23186477;0.453627046
Argentina;2012;-0.346001629;0.430799674
Argentina;2013;-0.364062401;0.42718752
Armenia;1996;-0.495823984;0.400835203
Armenia;1998;-0.481316516;0.403736697
Armenia;2000;-0.505870312;0.398825938
Armenia;2002;-0.340447438;0.431910512
Armenia;2003;-0.209318558;0.458136288
Armenia;2004;-0.293254896;0.441349021
Armenia;2005;-0.28636607;0.442726786
Armenia;2006;-0.338795878;0.432240824
